mean,var,azm,SWH,direction
0.0132,0.1265,143.0996,1.443908095,204.7932587
0.0029,0.0071,197.9862,0.262330323,147.7615662
0.0132,0.0906,115.5052,0.448255837,47.38916016
0.0059,0.0198,131.7221,1.151282549,201.6783905
0.0073,0.0338,118.3046,0.779637158,24.63192749
0.0143,0.1214,116.3624,0.657176614,227.0880432
0.0139,0.1018,107.5853,0.722521782,222.4275818
0.0115,0.0723,114.5468,0.882644773,349.9819946
0.0097,0.0834,130.2273,1.47546339,155.5093384
0.0317,0.6464,108.7329,1.86729002,188.8297729
0.0142,0.1052,133.8031,0.611180425,279.2836914
0.0084,0.039,127.6895,0.709432185,239.4759216
0.0212,0.244,114.5624,0.737225235,44.29086304
0.0073,0.0317,113.1138,0.443208635,85.4540863
0.0092,0.0519,116.9716,1.479293823,199.8687439
0.0081,0.0445,157.8405,0.606426716,269.742157
0.0837,3.9029,117.0049,0.75018084,68.22705078
0.02,0.2298,128.4104,0.458090663,51.3678894
0.0207,0.2542,120.6557,0.60047698,231.9760742
0.0118,0.0719,109.9689,0.506211698,51.55664063
0.0143,0.1366,112.2344,0.486641914,205.8879395
0.009,0.0402,117.9821,1.005844951,340.4107056
0.0107,0.0732,113.8159,0.594912946,51.22976685
0.0106,0.0625,112.5047,0.470674694,74.13761902
0.0093,0.0529,127.4069,0.923044205,273.9662781
0.004,0.0129,113.3088,0.287667304,1.828277588
0.0042,0.014,113.9291,0.340171039,0.033660889
0.0146,0.1365,116.589,0.644993365,196.2567749
0.0188,0.2022,135.5098,0.254414171,126.9922409
0.0078,0.0335,115.6933,0.57022953,232.7779846
0.0198,0.2336,113.236,1.683202147,198.6945801
0.0072,0.0364,126.0622,0.177287951,110.0170975
0.0403,0.92,115.0676,1.443663597,165.9012146
0.0242,0.3028,117.4238,0.714501202,231.7738495
0.0013,0.0008,191.8017,0.112336934,58.51980591
0.0358,0.6557,107.1139,0.568546295,58.70431519
0.0127,0.0794,110.3672,0.582262158,241.3080597
0.0117,0.0756,118.8225,0.433997631,230.3354492
0.0368,0.8724,119.623,1.220332623,160.2809448
0.0104,0.064,136.406,0.549409449,175.9249573
0.002,0.004,130.4329,0.130309075,179.755127
